"id","name","title","gender","birth_date","death_date","family_self","family_parents","dist_to_I1208","dist_to_I1128","dist_to_I610","dist_to_I3012","dist_to_I3023","dist_to_I3034","dist_to_I452","dist_to_I444","dist_to_I603","dist_to_I52","min_offset_to_royal","min_dist_to_royal"
"I178","Fergus  (Bowes-Lyon)",,"M",1889,1915,"F63","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I179","Rose  (Bowes-Lyon)",,"F",1890,1967,"F64","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I180","Michael Claude (Bowes-Lyon)",,"M",1893,1953,"F65","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I181","David  (Bowes-Lyon)","Sir","M",1902,1961,"F66","F46",14,11,10,17,11,20,8,10,10,3,5,3
"I182","Claude  (Bowes-Lyon)","Earl","M",1824,1904,"F56","F57",14,11,10,17,11,20,8,10,10,3,5,3
"I183","Frances Dora (Smith)",,"F",1833,1922,"F56","F117",14,11,10,17,11,20,8,10,10,3,5,3
"I184","Thomas  (Lyon-Bowes)",,"M",1773,1846,"F57","F58",15,12,11,18,12,21,9,11,11,4,5,4
"I185","Mary  (Carpenter)",,"F",1773,,"F57","",15,12,11,18,12,21,9,11,11,4,5,4
"I186","Thomas George (Lyon-Bowes)",,"M",1822,1865,"","F57",16,13,12,19,13,22,10,12,12,5,5,5
"I187","John  (Lyon)",,"M",1737,1776,"F58","",16,13,12,19,13,22,10,12,12,5,5,5
"I188","Mary Eleanor (Bowes)",,"F",1749,1800,"F58 - F59","",16,13,12,19,13,22,10,12,12,5,5,5
"I189","John Lyon (Bowes)",,"M",1769,1820,"","F58",17,14,13,20,14,23,11,13,13,6,5,6
"I190","Andrew Robinson (Stoney)",,"M",1749,,"F59","",17,14,13,20,14,23,11,13,13,6,5,6
"I191","  (Elphinstone)","Lord","M",1869,1955,"F60","",15,12,11,18,12,21,9,11,11,4,5,4
"I192","Dorothy Beatrix (Osborne)","Lady","F",1888,1946,"F61","",15,12,11,18,12,21,9,11,11,4,5,4
"I193","Fenella Stuart-Forbes Trefusi (Hepburn)","Hon","F",1889,1966,"F62","",15,12,11,18,12,21,9,11,11,4,5,4
"I194","Christian Norah (Dawson-Damer)","Lady","F",1890,1959,"F63","",15,12,11,18,12,21,9,11,11,4,5,4
"I195","  (Granville)","Lord","M",1880,1953,"F64","",15,12,11,18,12,21,9,11,11,4,5,4
"I196","Elizabeth  (Cator)",,"F",1899,1959,"F65","",15,12,11,18,12,21,9,11,11,4,5,4
"I197","Rachel  (Clay)","Lady","F",1907,,"F66","",15,12,11,18,12,21,9,11,11,4,5,4
"I198","Jeanne d'Albret of France",,"F",1528,,"F446","",17,14,16,19,14,21,16,14,16,15,4.33333333333333,14
