"hip","proper","ra","dec","mag","t_eff"
8433,"",1.81155,32.69021,5.78,5999
8475,"",1.820986,47.896924,6.01,7952
8480,"",1.822059,-31.072463,6.35,4453
8497,"",1.826418,-10.68641,4.66,7052
8514,"",1.83024,-38.402797,6.37,6190
8544,"",1.835714,22.275338,5.83,5438
8552,"",1.83893,-47.816392,6.14,4853
8588,"",1.84777,11.043378,5.92,7208
8593,"",1.848459,-50.206138,5.94,8057
8598,"",1.849198,51.933417,5.96,6640
8626,"",1.854701,64.854952,6.54,NA
8641,"",1.857321,-39.835935,6.44,4675
8645,"",1.857676,-10.335038,3.74,4601
8664,"",1.8605,-6.874143,6.42,4434
8688,"",1.862805,-15.64748,6.44,3760
8704,"",1.866476,55.147385,5.53,15101
8714,"",1.869268,50.792794,5.7,10773
8771,"",1.880758,51.474836,6.28,8917
8778,"",1.881142,-16.92925,5.78,7429
8796,"",1.884696,29.578829,3.42,6336
8814,"",1.888152,40.72979,5.42,4305
8820,"",1.889764,-38.594632,6.09,4620
8832,"",1.89217,19.293852,3.88,10334
8833,"",1.892597,3.187536,4.61,4993
8837,"",1.894102,-46.302669,4.39,3787
8847,"",1.896803,55.597639,6.44,7858
8882,"",1.906122,-42.49695,5.12,10611
8886,"",1.906584,63.670101,3.35,13675
8903,"Sheratan",1.910668,20.808035,2.64,7985
8922,"",1.914938,40.702034,6.25,4386
8928,"",1.915572,-67.647303,4.68,4987
8930,"",1.916015,37.12829,6.28,4543
8957,"",1.92213,-60.312484,6.43,6687
8983,"",1.929576,-60.860975,6.07,6938
8991,"",1.930642,-78.348548,6.15,6509
8993,"",1.930844,23.577322,5.76,4516
8998,"",1.93162,1.849982,6.01,6087
9001,"",1.9318,37.277786,5.89,3782
9007,"",1.932564,-51.608896,3.69,5179
9009,"",1.933337,68.685242,4.97,11207
9021,"",1.935927,37.25183,5.69,4737
9022,"",1.935945,-49.836446,6.37,11126
9061,"",1.944499,-22.526785,4.92,4104
9085,"",1.949961,-51.766244,6.1,6340
9094,"",1.952669,-10.242427,6.42,5244
9095,"",1.952792,-47.385277,4.82,5133
9110,"",1.955848,17.817532,5.09,5008
9132,"",1.962151,27.804381,5.84,3837
9149,"",1.964821,-65.4247,6.36,5040
9153,"",1.965478,23.596061,4.79,7270
9163,"",1.966454,47.09552,6.48,4485
9207,"",1.974078,-33.066787,6.37,4838
9220,"",1.975896,61.697788,6.02,10235
9222,"",1.975973,49.204352,5.7,4840
9236,"",1.979451,-61.569859,2.86,7270
